_timestamp_utc,_git_commit,_untracked_files,_config,_python,_platform,key,plot_id,replicate_seed,target_level,condition,verifier_b_target_probability,verifier_b_binary_success,verifier_a_target_probability,gave_up,logical_generator_calls,logical_generator_tokens,attempt_scores
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|zero_shot,BN002,42,0,zero_shot,0.16377215366930242,0,0.0011751259587710061,False,1,487,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|static_few_shot,BN002,42,0,static_few_shot,0.15022507849191102,0,0.03829966819329178,False,1,771,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|rag_only,BN002,42,0,rag_only,0.9852784756942758,1,0.9999999999984952,False,1,830,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|rag_neural_loop,BN002,42,0,rag_neural_loop,0.9852784756942758,1,0.9999999999984952,False,1,830,"[{'attempt': 1, 'verifier_b_target_probability': 0.9852784820640095, 'verifier_a_target_probability': 0.9999999999984952}]"
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|rag_symbolic_loop,BN002,42,0,rag_symbolic_loop,0.9852784756942758,1,0.9999999999984952,False,1,830,"[{'attempt': 1, 'verifier_b_target_probability': 0.9852784820640095, 'verifier_a_target_probability': 0.9999999999984952}]"
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|rag_neural_symbolic_feedback,BN002,42,0,rag_neural_symbolic_feedback,0.9852784756942758,1,0.9999999999984952,False,1,830,"[{'attempt': 1, 'verifier_b_target_probability': 0.9852784820640095, 'verifier_a_target_probability': 0.9999999999984952}]"
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|intrinsic_self_critique,BN002,42,0,intrinsic_self_critique,0.027454147759298553,0,2.1461427518354448e-05,False,3,2711,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|external_role_self_critique,BN002,42,0,external_role_self_critique,0.022092399902307713,0,2.025868596733371e-05,False,3,2704,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L0|blind_resampling,BN002,42,0,blind_resampling,0.9852784756942758,1,0.9999999999984952,False,1,830,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L1|zero_shot,BN002,42,1,zero_shot,0.4146650120429289,0,0.7116826515514525,False,1,501,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L1|static_few_shot,BN002,42,1,static_few_shot,0.02656729178764512,0,2.2771279626235352e-07,False,1,642,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L1|rag_only,BN002,42,1,rag_only,0.9748493539467266,1,0.999861313364807,False,1,633,[]
2026-08-22T14:42:51.001905+00:00,4bfefe903b840b826e3ce577b5faf3a6e8576ddf,2,configs/s5_score_bn.yaml,3.12.13,Linux-6.12.90+-x86_64-with-glibc2.35,S5BN|s42|BN002|L1|rag_neural_loop,BN002,42,1,rag_neural_loop,0.9748493539467266,1,0.999861313364807,False,1,633,"[{'attempt': 1, 'verifier_b_target_probability': 0.9748493539467266, 'verifier_a_target_probability': 0.999861313364807}]"
